CleanText,Sentiment,Score,TextLength,WordCount
"who won't like pumpkin taste was very good but texture was watery compared to other brands . i make a fat free /sugar free pumpkin custard using egg whites. only 400 calories for the whole dish . with other brands of canned pumpkin it is the same texture as a normal pumpkin pie minus the crust . this brand comes out a bit soupy but still quite tasty. for a custard it is fine but for a pie ,it would never hold up to being a pretty slice, to hold it's shape unless you over baked it. mind you - with the shortage we are having i would buy it again , i will buy it again because the taste is good unless you over bake it .",neutral,3,623,128
"delicious but not whole grain this bread does taste like regular bread. regular over-processed ""wheat"" bread you'd buy for two dollars at the grocery store. it keeps good for a while and makes a dynamic sandwich but it doesn't offer that wholesome, whole grain experience i really miss. the label says it has 8 grams of whole grains per serving--about a third of the total grain content.",positive,4,387,67
"great dog food. switched to canidae from sciencediet after reading about dog foods on the internet. i haven't noticed any major differences in the dogs habits or frequencies, other than her eating habits. before, she acted very finicky and sometimes would take all day to finish one bowl of food. now, she eats the whole helping in less than 30 seconds. she really seems to like this food. i will be sticking to this brand it looks like.",positive,5,437,78
"a little chalky this has a chalky flavor compared to the sugar-added counterparts. otherwise, the chocolate flavor is acceptable.",neutral,3,129,19
don't buy you know that saying you should try it before you buy it. well don't with this product. it that bad. i don't even know how they can market this.,negative,1,154,31
aweome even those of us who don't need the gluten free loved this cake. i made it into cupcakes and they were gone very fast. very moist and rich.,positive,5,146,29
pity the poor potato i love mashed potatoes. but i goofed on this batch. these are much too highly seasoned for my taste. betty crocker tried too hard to be distinctive. if she had let the poor reds be themselves they would have been wonderful.,negative,1,244,45
"sea salt and pepper: too much? just right? yes and yes. we loved these at first. while we thought the salt and pepper was very powerful, the cashews themselves were large and flavorful, and the whole thing really worked. we still love them, but it's a hit-or-miss proposition. you never quite know how your taste buds are going to react when you open the container and toss a few in your mouth. sometimes, without a doubt, it's just a little too overpowering.the quality of the cashews is fantastic, the salt and pepper adhere to the nuts surprisingly well considering how coarse it all is. there are times when i'd rate these a 4 or even 5, others where i'd want to go as low as 2. 3 it is.would we buy them again? i don't think so, but i had to stop and really think about that. emerald has a great product here, and we loved their emerald cocoa roast almonds, 11oz canister (pack of 4), but the moments where these are too much, are enough to keep us from going back for more when this can is gone.",neutral,3,1001,189
"yuch! impressed,as always,with amazon's expedient delivery. i perused customer reviews before ordering and felt comfortable with my choice (i was going to get the emeril bourbon street blend , which i love) as reviewers gave this a great rating. i find it strong but bitter as opposed to strong and rich. would not recommend this blend to anyone. no negatives to amazon but wonder who could find this a pleasurable coffee.",negative,1,422,71
"pretty darn tasty i initially bought these for purposes of being gluten-free, but i genuinely enjoy them! they've recently changed the recipe, as the bars taste slightly less ""dark-chocolatey,"" but they're still delicious. don't be confused by the toasted almond label. there are very few tiny slivers of almonds, and the bars honestly taste more like a dark chocolate rice crispy bar than anything with nuts. overall, i prefer these to all other gluten free bars. if only they were slightly less expensive!",positive,4,507,83
just so so my boys would usually only eat about 1/2 at a time which tells me they don't care for them. i think it's the weird aftertaste that i found it to have.,neutral,3,161,34
"okay if you like cinnamon candy. just not the normal flavors i am used to getting. the red ones are hot and spicy like the cinnamon candies. so if you like those and like gum this would be perfect for you. the pink, orange, and yellow dont have a great flavor. i really like the green ones.",negative,1,290,57
"great canned product without excessive salt or harmful chemicals/preservatives! i love these canned cannellini beans. they are organic, which is important to me, and do not contain any of the harmful chemicals/preservatives that so many canned products have. i also love the fact that there is no salt added, another hard to find quality in canned goods.while i do prefer to make my own beans from scratch, when in a pinch, these serve me well. i have never been disappointed in the quality of the product or experienced the problems that a couple of the other reviewers have had. the beans always come out creamy and delicious...they are good enough to eat on salads (after a rinse of course).the subscribe & save option is great for these, too, because it works out to be less than what i would pay in my local grocery store for the same product. plus, buying products by the case is not only easier, but it leads to a well-stocked pantry. i will always keep these beans on hand.i love eden organic products, but this is definitely my favorite!",positive,5,1046,184
not a winner a box of this coffee contains 15 packets. there are no preparation instructions so one would think that one packet means one cup. since coffee makers consider a cup to be 6 ounces that was my starting point. one of the reviews mentioned that the coffee is weak so i doubled down on the amount. this meant two coffee packets in 6 ounces of water. while the coffee was brewing it emitted a very slight and barely detectable odor. when the brewing was finished it was time to drink coffee.this is by far the weakest coffee i have ever tasted. it would take all 15 packets to make one 8 cup pot of weak coffee at a cost of over ten bucks. not a good choice. there are far better coffees available at far more reasonable prices. they would be a much better choice than this marley.,negative,2,789,150
it is dog food. this dog food is promoted with a lot of hype. a chef definitively didn't formulate this dog food.it is mostly soy and grains. it looks great and my 4 dogs do gobble it up. i was just disappointedwith its ingredient list. it is more expensive than some higher quality dog foods that don't advertise on tv as much.i would not use this again.,neutral,3,355,67
stale don't buy unless you like stale licorice. i love the pastel licorice and i buy whenever i can find it (cause they are rare. i was really disappointed that it was stale. there was no crisp outside it was kind of soft and mushy on the outside.,negative,1,247,48
"not the best larabar i really like larabars in general and was stoked to get blueberry ones, but these don't taste like blueberries at all. they're more like unsalted cashews that have a weird sweetness to them. get the apple pie or the cherry ones, those rock!",negative,2,261,47
"slightly better than other flavored coffees because your baseline tastes may well differ from mine, here's where i'm coming from: i'm not a fan of artificially flavored coffees, but i do like an occasional shake of cinnamon or cocoa in my coffee--and a pinch of cardamom is awesome. i do like starbucks coffee--some people say it tastes burnt, though, or is over-roasted. i take my coffee black or with cream, and only occasionally add some splenda -- i don't ""do"" sugar. i dislike the ""bailey's irish cream""/butter pecan/you name it -flavored-type coffees--they taste of artificial flavors to me, and the quality of the coffee isn't that good. so i set out to try the new starbucks ground ""naturally"" flavored coffees...well, this was rather disappointing. i know that ""natural flavors"" doesn't necessarily mean ""natural vanilla flavor""-- all it means is that the flavorings are derived from plants and not petroleum--could well be from pine trees. this coffee lists in order the following ingredients: ground coffee, natural flavor (with corn maltodextrin, vegetable glycerin), ground vanilla beans, indian sarsaparilla root. .... now, we don't know what the ""natural flavors"" are, but they are something different from ground vanilla beans, and listed before them. the sarsaparilla root is kind of weird too-- sarsaparilla, the beverage, tastes like root beer! well, this has that ""artificially flavored coffee"" taste--smells and tastes a lot like bailey's irish cream flavored coffee, although the underlying coffee is much better than you might get from a supermarket brand of flavored coffee--it's starbucks, after all. i put splenda in mine, as well as cream--not very pleasant on its own.on the plus side, you can control how sweet you make it, and use the sweetener you prefer--but why not just put a glug of natural vanilla extract or some ground vanilla beans in your regular coffee yourself? that way your coffee maker doesn't get all flavored up, either.and--it's not the 3/4 lb. (12 oz) bag you might have become accustomed to (remember when all coffee came in a full pound bag?) --it's only 11 oz!! i guess they think we aren't paying attention.",negative,2,2160,351
"high fat not all details are given on the amazon web site. it says no trans fat, however, it fails to say the amount of total fat which is very high.",negative,1,149,31
"best of all i tried several different brands of stevia over the yrs. imo this is the best tasting. one or 2 mini scoops is all you need. there is no bitterness with this brand. i have been using it for over a yr, and even substitute it in my cooking, where it calls for 1/4, 1/2 or cup of splenda i use this instead but not equal portions i use the mini scoop, 1,2,3 scoopfuls is all thats needed.",positive,5,397,80
"ummm, i don't know... my 2-year old dog was born with a malformed ball & socket in her hip. as a result, she has a hard time standing up after running and playing. eventually this will become hip displacia. our vet recommended we start her on a glucosamine supplement. i tried giving her this supplement but she's not too crazy about it. i mix it in her food but i can tell she doesn't really like it. i don't care for the strong cinnamon smell so maybe that is off-putting to her. i will continue to give it to her in the hopes that it will help her but i really wish the smell was different.",neutral,3,593,116
"delicious! love this tea, i drink it with nothing added, no sugar or any other sweetener. i also take my coffee and hot tea without sugar, so anyone who normally prefers adding a sweetener will probably want to. but the tea is the perfect blend, not weak at all, which is my main complaint with a lot of flavored teas. very refreshing, especially in warm weather, and it's good for you!",positive,5,386,71
mi-del 100% whole wheat honey grahams the entire case was stale & broken into bits. i will never buy this brand of crackers again.,negative,1,130,24
"tastes amazing, buuut...is it worth it? pros: this product tastes and feels like real peanut butter. i would pay double...if i could deal with the cons:cons: gas. horrible, horrible gas. and not just me - everyone who i know who has tried it experienced mind-blowing flatulence within 36 hours. and not just ""bad"" gas - we're talking about the kind you wish you could summon when the cop leans into your window and says ""license and registration?""i wish i could continue to use this product...but i can't even stand myself the next day, and seriously, that's bad: everyone usually loves their own brand!",negative,2,603,103
"good - but beware - labelled incorrectly as dimmable on amazon these lamps were at first look very good & bright as well as energy efficient(i remember my old man would only use 25w light bulbs when we were kids as ""they saved energy and money"" - little did i know he was predicting a future path we needed to take so the hole in the ozone layer wasn't bigger than australia)unfortunately i bought these for the purpose of using them in dimmable fixtures - to allow situation lighting as well as energy efficiency and reducing my carbon footprint. they are labelled as dimmable on amazon (still are as at date of this review!) and are in fact not - and as such they cannot be used in dimmable circuits without risk of fire or early failure (fire according to info i have read). i sent them back & amazon happily refunded my money - i will search for real dimmable flouros now...",neutral,3,878,163
"worst dispenser design i've ever experienced i generally don't write bad product reviews, but in this case i'll make an exception. i switched from using sugar in my coffee to agave due to the low glycemic index, but also because it seemed simple to use, and the liquid is much easier to dissolve if i wanted to use it in a cooler liquid, such as iced tea. this was the first agave i ever purchased, and i am now a big fan. however, that is in spite of this xagave product, not because of it. the bottle design for this agave nectar was beyond frustrating to me. the design of the bottles included a clear plastic top, which came off completely, and a little nub with a hole on it that you pulled up so that you could squirt agave out, and then pushed back in when you were done (kind of like an old-school water bottle), and then you put the clear plastic top back on again. there is no way this design was actually tested by a conscious living human before it was putt into production. you could not use this product without leaving at least a tiny bit of agave around the spout thing every single time you used it. the next morning, you left a little more, and so on and so forth, until the top of the bottle (including the little plastic top thing) were so disgusting and sticky that i actually started to dread my normal cup of coffee every morning. i literally counted down the days until we were finished with this product (yes, i refused to waste it by throwing it out); not because i planned on quitting agave. no, only because i wanted to quit making a sticky disgusting mess every morning with my coffee. honestly, i can't believe i'm the first one to complain about this. am i the only one who received this type of dispenser top? is this some sort of elaborate agave practical joke?bottom line, i like agave. strongly support it. i hate this bottle. in my nightmares, a giant version of this bottle leaves sticky puddles of disgustingness that i get stuck in until the end of time. until the bottle design is changed, don't buy it. i've used other agave and it has all tasted just as good. buy one that won't frustrate you with each use.note: if the bottle has changed in any way, someone please comment on my review and say so, and i will change my review to reflect that. as of today (09-14-11), one of the pictures amazon is using looks like it has a different dispenser/tap than mine, while another picture shows the same tap i had on my bottles. a flip-top would basically solve all of my complaints; i switched to a different brand (wholesome sweeteners organic blue agave), and the flip-top design is perfect.",negative,2,2628,486
"a little stale i usually love these, but somehow, on arrival, they were actually a little stale.. although the dates were good.. i would not buy them again through amazon.. we could still eat them, but when i have bought them in the store before, they were nice and crisp.??",negative,1,274,50
great diet snack food. you get a lot of flavor for 100 calories with these pop chips. i hesitated ordering them until i heard jullian michaels (trainer from the biggest loser) mention it as a substitute for potato chips. so glad that i ordered them.,positive,5,249,45
"nasty and questionable: made in china. read the news!!!! fda just issued yet another warning for dog chicken jerky treats made in china..... dog lovers, you need to pay attention!!!! we just threw our stuff in the trash......yet another health article appeared on cnn online re: dog chicken jerky treats. i re-read the reviews on amazon. i contacted dogswell customer service and got a lengthy, very informative reply that said, "" a large number of our products are sourced and manufactured in the united states and only a small number of our treats, are made in china."" (my package clearly states made in china --- so, did i buy that ""small number"" of bags??). i carefully weighed all the information and still do not feel comfortable. i believe the manufacturer cares a lot about dogs but how about keeping the business right here in the usa?we just made the decision to stop ordering this product. yes, my dogs like the treats but i cannot, in my heart, say i can serve them to my pups. i am unconvinced that this is the best option for my dogs.",negative,1,1048,187
"a hit with my mother-in-law my wife's parents were here for thanksgiving, and my mother-in-law mentioned how much she likes bigelow tea. i decided to order this at that moment before i forgot it. we opened gifts together by ""skype"" -- they live 1500 miles away, and it was clearly a hit -- beatuful box and some of their favorite teas as well as some they have yet to try.",positive,5,372,70
"it aint peanut butter, but it aint calories/carbs either! this is not the most delicious thing i've ever tasted in my life, but i can definitely appreciate it for what it is...zero calories, zero carbs, sugar free, fat free. i prefer to mix it into shakes for a nut flavor instead of making a pb&j sandwhich out of it. but even w/ a sandwhich, it's not that bad, because w/ the real thing i eat too much. this product gives a little of the taste w/out any of the calories, sugar or fat. it's a good product.",neutral,3,507,97
"great taste, so so nutrition snickers marathon chocolate nut burst protein bars are a middle of the road protein/energy bar. i really like the taste of these, and their 22g of protein is the highest content of any of the protein bars that i regularly eat - cliff builder, kashi, and promax being the others. they are also fairly high in electrolytes with 360mg of sodium and 260mg of potassium, and these are important to those who train hard and need the extra minerals. the one downside to these is that their sugar content (at least in part) comes from corn syrup and high fructose corn syrup. the other products that i mentioned avoid this by using more natural sources such as evaporated cane juice. because of the sweetener, i do not use any of the snickers products as my primary protein bars. i use them more as a change of pace to keep from burning out on the others. for the more nutritious conscious, i would recommend products from cliff, kashi, or promax. while these are better than a regular candy bar, you can still do better.",neutral,3,1042,188
"great oil at a great price this is a terrific olive oil. i am pretty picky with evoo, and often buy higher priced stuff. i admit to pouring it into a class olive oil container for easier use, but it's well worth the small effort. i highly recommend this to anyone who likes quality olive oil at a terrific price!",positive,5,312,60
"if you ever wondered what it must be like to be a cannibal... ... then these strips are for you. a friend of mine introduced me to them, and admittedly, they taste pretty good, but the seitan has a color and texture that will make you think you are eating human flesh. it's horrifying, and yet afterwards you'll be craving more, which is all the more horrifying.so, 5 stars for taste, 1 star for cannibalism... 3 stars overall.",neutral,3,427,78
terrible this iced tea is terrible. this is the first stash product that i do not enjoy. it is not iced tea. it tastes more like powdered peppermint leaves.,negative,1,156,29
the picture should at least be similar this item is a big rip off the picture shown is not the item received it is half the size and unsatisfactory read the description carefully before you waste your money on such a small basket,negative,1,229,43
"natural sweetner as a diabetic, i really like this natural sweetner because it does not raise blood sugar. it has a nice taste with no lingering after-taste. it it not calorie free.",positive,4,181,32
"you have to try these! i will preface this review by saying i did not order these for myself, my sister ordered them for me. she has this never ending hope that i will start eating healthier, get into shape and all that jazz.when they arrived (and she never told me she'd ordered them for me), i took one of the boxes to work ready to give them all away as i was sure i'd hate these as much as i hated all the other 'healthy' bars i've eaten.before i even tried one i had given two away to a girl at worked that was into healthy eating, sure i could unload the rest on her when i hated them. she asked me later if i had tried one and i promised i would.i opened the package and was very pleasantly surprised that it smelled good, like something actually eatable. when i took a bite, i was shocked, it was, delicious. absolutely delicious. i felt totally betrayed by my body that it would not only like something healthy but it embraced it!i promise you, if you're not a lover of health food (like i'm not), you'll find yourself shockingly loving these and wanting more!",positive,5,1069,204
"upsets my stomach badly i've used a lot of different protein powders and decided to try this one for a change. i was not put off by the slightly odd color or the slight grit of this powder as neither were too bad in my opinion. the taste is not too bad either - not great but okay. what i was put off by, unfortunately, is the fact that it seems to make me feel nauseated even in small quantities. very disappointing, and i can't return the large amount that is left.",negative,1,467,92
"misleading while i did get ice breakers, i did not get the pink lemonade, i merely got the apple, tangerine and watermelon sours. tasty, but misleading. i give 3 stars since i didn't bother to return em.",neutral,3,203,37
"best coffee ever! i love millstone coffee. although it's hard to beat a starbucks latte (what can i say, i live in the northwest), for at home drinking, this is my everyday coffee. i've tried the fancy machines with k-cups, a french press, a chemex glass drip coffee maker and espresso makers but i always come back to this brand. all the flavors are good, i like the hazelnut too. i have this on subscribe & save here on amazon.com and the price really rocks. i'm a cream and sugar gal but this is good enough to drink black - okay, i'm exaggerating but not by much.",positive,5,567,107
"find it cheaper just about anywhere else this has been the right formula for us...i have used this formula with my twins since i stopped breast feeding at 3 months. they have had no issues with gas, fussiness, etc. however, amazon has really missed the boat with pricing on this item. that is the only reason for a lower review. my local target sells the 24oz can for 19.99-21.09. find a few coupons and save even more. wal-mart is also on par with the 20/can price. i know some may not have one of these stores in their area(yes, there are parts of the us that walmart hasn't found yet...) but considering you'd be saving at least 20 dollars on the six cans it may just be worth the drive...",neutral,3,692,130
"good all round chips excellent flavor. not as strong as doritos, but strong enough that you won't be tempted to dip them in anything. the texture is a bit unusual in that they are puffier than a normal chip but there is still a nice crunch to them.",positive,4,248,48
what a waste i wish i had read the other two reviews here. i picked this up at a local store for about 6 bucks. my dog just ate half of it in 5 minutes and would be done with it now if i had not taken it away. and he is only 5 months old...so an older bigger dog could destroy this even quicker. i can't believe they actually sell these...at that price at least. he absolutely loved it and is quite mad i took it away...but not worth the money.,negative,1,444,92
"excellent this mix is slightly sweet and a very nice, smooth dark chocolate flavor. i will likely order more before the hot chocolate season ends. i hope amazon will continue to carry this brand.",positive,5,195,34
"tastes ok just ok. i miss coffee, so this probably influences my feedback.simply put, other decaf teas i have tried have much more flavor-- this one just never gets to the point of being anything but weak-- even if you use two bags.that said, i like the good stuff in here, so i've been using this with a supplemental tea bag to add flavor.the idea is great-- i just wish they would do a little more product development to make this a tasty product.",neutral,3,449,84
a good value these are a good size to perfectly go with a sandwich or a burger or even as a snack. tasty and fresh and even survived the trip to me in tact.,positive,5,156,34
"great concept, bad balance of flavour i saw this on the shelf at the local market and immediately jumped on it, since i love simply organic's other spice blends. the label makes things sound very promising - tomato, onion, garlic, pepper, demerara, cumin, and hickory. sounds to me like a great rub for grilling steaks and ribs or even the basis for a quickie sauce if mixed with some vinegar and oil.unfortunately, the amount of hickory flavoring in the mix is about 5-10 times as strong as it should be. you can't really taste any of the other wonderful ingredients, even if they are fairly well rehydrated. the amount of salt in there is a bit startling, as well.come to think of it, this blend, though fancy and organic, tastes uncannily like bbq potato chips. it's honestly a bit remarkable they managed to reproduce that artificial flavour using all natural ingredients!if you love love love smoky flavour, then grab this and use it to rub down some pork chops before grilling them, but take care you don't use too much, and that you baste with a nice, sweet and spicy sauce afterwards.",neutral,3,1092,192
"too salty for me i purchased the white cheddar flavor based on the good reviews and really wanted to like it, but the salt in the product is too much for my taste. thank you",neutral,3,173,35
"what happened to this product???? as a previous reviewer stated - i used to buy this product and it was very good - very spicy. i have purchased several jars over the last several months, at different locations, and this product no longer is any good - at all. the jar i just opened was supposed to be good until 2011 - it was totally bland, and looked old. i don't know what thai kitchen is doing - but - their curry pastes are bland. it seems like the curry is very old. or, the jars are not sealed properly. i have even sent emails to thai kitchen about this. this vendor has a problem. go to an asian market and get a real curry paste. it makes a world of difference. (i'm sorry thai kitchen - but you need to get it together !!)",negative,1,733,145
"imho nasty-tasting being an avid peanut butter lover, i chose this product with enthusiasm, which was short-lived. imho this product has an annoyingly cloying sweet flavor and no peanut butter flavor whatosever. i threw it in the trash after one taste.",negative,1,252,41
"excellent product, excellent price! i have been searching for a high quality fenugreek for a while now, for a specialty indian dish that i make, and this is absolutely amazing! it smells so wonderful, and is packaged very nicely. the spice is fresh, and i don't know how i'll every use it all, there is so much, but i will happily try!",positive,5,335,62
"not the best but not horrible either i bought this gummy bear for my boyfriend not too long ago because he had originally wanted one of those 5lb ones but i couldn't afford it at the time and thought he'd settle for a smaller version.as for the taste, it was okay and decently sweet. i quite enjoyed it although it does not compare to a traditional gummy bear's flavor nor consistancy seeing as it was a bit chewyer and tough, but still like i said enjoyable and not horrendous.the size is what dissapointed me. i wasn't expecting it to be as big as the 5lb gummy bear but was expecting it to be at least bigger than my hand which it was not. it's pretty small.like mentioned from one of the other comments above, the blue rasberry bear is in fact green, i know because that is the one i received. despite the irony in the flavor and the actual color i wouldnt mind purchasing another one maybe sometime in the near future if the price went a bit lower. i feel i overpayed for mine (almost $13 with shipping and tax included)",neutral,3,1025,193
"excellent hot cocoa drink in an attempt to get away from drinking a lot of tea, i started drinking cocoa powder in hot water and lightly sweetened with natural sugar. i'm happily addicted. because this is a dutch-processed chocolate it does not contain the acid that hershey's cocoa powder has. it also does not have the additional sugar and additives that typical hot cocoa mixes have. i highly recommend it as a wonderful warm drink in cool weather. however, i have also enjoyed it in warmer weather by making it in concentrated form, dissolving the cocoa and sugar in a little bit of hot water and then adding ice and more cold water as desired. i also enjoy it sweetened with concentrated orange juice.",positive,5,706,124
"why? i use my handheld mixer with only 1 beater on it. hold the jar well and there will be no splattering, it does a great job...you can really whip it up and i would imagine it does a better job than this gadget...one less thing in my drawer!",neutral,3,243,49
"cant get enough of it!!! our lil shih tzu puppy cannot get enough of it. everytime she sees the bag, she starts jumping up and down!!! our older shih tzu doesnt like it at all but its perfect for puppies! will definitely reorder!",positive,5,229,43
elated!! my grandaughters returned to the states this past sept. from living in italy for the last 3 years. this was their favorite candy bar in italy. they were so elated and so surprised when i found it on amazon and sent it to them for halloween that they squealed with happiness. it is not as sweet as candy bars in the states but it is chocolate with a great hazelnut flavor. i wholeheartedly recommend it!!,positive,5,412,76
"pumpkin? it's sweet, packed with seeds that get stuck in your throat, doesn't taste at all of pumpkin, and filling after a couple teaspoons. wouldn't buy again.",negative,2,160,27
"sooooooo salty!!! i was thinking this was a nice low calorie snack, but i'm sorry - 38% of your sodium in one little packet is obscene! not to mention that it tastes too salty. it overpowers any other flavor that this soup might have... very disappointing... they should offer a low sodium option that might be more palatable...",negative,2,328,58
mushy these tomatoes are mushy with a dollop of sauce on the top. they're sweet with a modicum of tomato flavor-not at all what i expected. if i bought these at kroger i'd take 'em back. the price is right but i have bought store-brand tomatoes that are better than these.,negative,2,272,51
pill packets my dog doesnt like the flavor of the duck but loves the peanut butter. i was shocked because she loves duck dog food. i gave them to my girlfriend and her dog loves them. my dog is super pickey and somewhat of a treat perfectionist! she is spoiled i will admit it.,neutral,3,277,54
confused bought this product to increase my milk supply after reading reviews but it's just arrived and it says not suitable to take when nursing so now i'm not sure if it's safe to take. very disappointed,negative,1,205,37
"wish they were in china i live in china, and i am unable to find anything made by jack link's here. i am able to buy different beef jerky products here, but they just don't taste the same. fortunately my mother-in-law and wife gift me with jack link's beef jerky on a regular basis. jack link's uses premium cuts of meat that are seasoned and smoked in a way that you will find to be delicious. once you open the bag, be sure to put it in the fridge unless you want your beef jerky to grow some white fuzz. an opened bag of beef jerky that is refrigerated can last for months. i also recommend jack link's teriyaki, peppered, sweet & hot, hickory smoked, and steakhouse recipes.",positive,5,678,128
"not bad not good strong, little bitter, but don't have a rich coffee flavor. you can find the same flavor on supermarket less value, pilon, bustelo, etc.",neutral,3,153,27
after taste this gum tastes good at first but it has an 'interesting' tomato aftertaste that really lingers.,negative,1,108,18
"dogs love it! this is a great, grain-free canned dog food. i have two small dogs who loveto eat and was trying to get their weight under control. they've made bigimprovements with this in their diet, plus the dry food made by wellness.the cans show up without any major dents, and the food itself actuallysmells relatively appetizing (for dog food). good for picky eaters, as well.",positive,5,381,66
"excellent! this is a great salt; it has a wholesome flavor and, i noticed it doesn't make you thirsty or rise the blood pressure as regular salt does. that's the benefit of the natural balance of minerals in it. i would recommend this to friends and health conscious people.",positive,5,274,49
