CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,ProductDiversity,Country,AvgItemsPerOrder,SpendingVariability,CustomerLifetimeDays
12375,11,2,457.5,4,2,2,2.8000000000000003,Loyal,14,Finland,10.470588235294118,14.672205115154862,87
12377,315,2,1628.12,1,2,3,1.9,Needs Attention,72,Switzerland,12.25974025974026,15.531661592534688,39
12378,130,1,4008.62,2,1,4,2.3,Needs Attention,219,Switzerland,11.547945205479452,8.958342412809236,0
12379,82,2,852.24,2,2,3,2.3,Needs Attention,39,Belgium,10.175,12.201029969133439,88
12380,22,4,2724.81,3,3,4,3.3,Loyal,77,Belgium,10.836538461538462,27.08885288224848,164
12381,5,5,1845.31,4,3,4,3.7,Champions,70,Norway,9.28735632183908,25.892950235134975,115
12383,185,5,1850.56,1,3,4,2.5,Needs Attention,84,Belgium,15.474747474747474,12.680055152091024,167
12384,29,2,585.27,3,2,2,2.4000000000000004,Needs Attention,26,Switzerland,4.666666666666667,17.29530260815613,92
12386,338,2,401.9,1,2,2,1.6,Needs Attention,10,Australia,35.4,22.821064830546362,29
12388,16,6,2780.66,4,4,4,4.0,Champions,57,Australia,14.62,16.84279813241532,311
12390,80,1,549.84,2,1,2,1.7000000000000002,Needs Attention,32,Belgium,11.03125,7.172142344268664,0
12391,22,1,460.89,3,1,2,2.1,Needs Attention,92,Cyprus,3.0,5.523439108549907,0
12393,72,4,1582.6000000000001,2,3,3,2.5999999999999996,Loyal,47,Australia,12.75,18.045403220237354,260
12394,64,2,1272.48,2,2,3,2.3,Needs Attention,26,Belgium,30.333333333333332,64.92458923381407,153
12395,19,12,3018.63,3,4,4,3.6000000000000005,Champions,91,Belgium,13.576923076923077,12.640153861413182,351
12397,36,2,2409.9,3,2,4,3.0,Loyal,110,Belgium,10.023809523809524,15.703009487720136,99
12398,46,1,1635.6599999999999,3,1,3,2.4000000000000004,Needs Attention,85,Switzerland,16.4,22.430088742767012,0
12399,119,4,1108.65,2,3,3,2.5999999999999996,Loyal,47,Belgium,19.966101694915253,10.49116802024393,142
12401,303,1,84.3,1,1,1,1.0,At Risk,5,Belgium,2.2,5.419340365764086,0
12402,323,1,225.6,1,1,1,1.0,At Risk,11,Belgium,8.545454545454545,7.2340105813379285,0
12403,50,1,427.7,3,1,2,2.1,Needs Attention,5,Denmark,19.2,64.97959679776415,0
12405,149,1,1710.39,1,1,4,1.9,Needs Attention,54,Finland,15.87037037037037,42.769103308331616,0
12406,22,2,3415.3,3,2,4,3.0,Loyal,92,Denmark,17.314285714285713,23.678103145939364,161
12407,50,5,1708.1200000000001,3,3,4,3.3,Loyal,57,Belgium,18.38961038961039,16.695276404955607,214
12408,33,5,2888.55,3,3,4,3.3,Loyal,81,Belgium,13.41904761904762,24.172746971617563,227
12409,79,3,11072.67,2,3,4,2.9,Loyal,91,Switzerland,50.92660550458716,61.50616794139595,103
12410,309,2,693.3299999999999,1,2,3,1.9,Needs Attention,26,Switzerland,8.115384615384615,28.210280245656218,0
12412,75,3,1226.88,2,3,3,2.5999999999999996,Loyal,43,Denmark,13.59016393442623,12.51062163805188,94
12413,67,3,758.1,2,3,3,2.5999999999999996,Loyal,29,France,7.526315789473684,10.267213627643855,270
12414,217,3,562.41,1,3,2,1.9,Needs Attention,16,Austria,16.666666666666668,18.57288607241275,93
12415,24,21,124914.53,3,4,4,3.6000000000000005,Champions,444,Australia,108.36694677871148,181.10239561311863,313
12417,3,9,3649.1,4,4,4,4.0,Champions,158,Belgium,8.083333333333334,11.076127647062123,354
12418,113,1,668.58,2,1,2,1.7000000000000002,Needs Attention,34,Switzerland,11.970588235294118,16.13403350302239,0
12420,64,1,600.39,2,1,2,1.7000000000000002,Needs Attention,29,Cyprus,11.89655172413793,9.201862041164851,0
12421,16,4,807.04,4,3,3,3.4,Loyal,32,Spain,10.755555555555556,11.561200883065126,303
12422,96,3,803.5600000000001,2,3,3,2.5999999999999996,Loyal,39,Australia,9.487179487179487,17.520070403299535,229
12423,1,8,1859.31,4,4,4,4.0,Champions,97,Belgium,10.712,7.838852929581782,352
12424,163,2,1760.96,1,2,4,2.2,Needs Attention,30,Australia,24.666666666666668,62.474226064024606,0
12425,78,1,777.2,2,1,3,2.0,Needs Attention,36,Portugal,13.777777777777779,14.685976941632408,0
12426,195,1,582.73,1,1,2,1.2999999999999998,At Risk,30,Germany,8.6,11.490219434096034,0
12427,22,3,825.8,3,3,3,3.0,Loyal,26,Germany,17.193548387096776,17.504324559364463,349
12428,26,9,7956.46,3,4,4,3.6000000000000005,Champions,258,Finland,12.02721088435374,43.42766763742172,257
12429,9,4,3750.4,4,3,4,3.7,Champions,82,Denmark,16.051546391752577,35.84802256740429,356
12430,43,1,256.4,3,1,1,1.8000000000000003,Needs Attention,11,Norway,10.636363636363637,14.033241574593845,0
12431,36,15,6487.45,3,4,4,3.6000000000000005,Champions,163,Australia,12.36595744680851,50.33543798253851,338
12432,43,5,5059.32,3,3,4,3.3,Loyal,107,Norway,16.675925925925927,75.6796474737069,129
12433,1,7,13375.87,4,4,4,4.0,Champions,219,Norway,26.35952380952381,27.0369316523465,372
12434,85,2,806.14,2,2,3,2.3,Needs Attention,46,Australia,7.88,8.336415331029794,175
12435,80,2,7829.89,2,2,4,2.5999999999999996,Loyal,31,Denmark,57.083333333333336,118.22086735838245,188
12436,100,1,509.01,2,1,2,1.7000000000000002,Needs Attention,16,Norway,13.1875,18.84557161731459,0
12437,2,18,4951.41,4,4,4,4.0,Champions,118,France,14.683417085427136,18.247716430729014,329
12438,14,2,2906.85,4,2,4,3.4000000000000004,Loyal,84,Norway,12.040816326530612,40.54791789245686,125
12441,367,1,173.55,1,1,1,1.0,At Risk,11,France,11.0,4.004083143265363,0
12442,3,1,172.06,4,1,1,2.2,Needs Attention,12,Spain,15.166666666666666,8.012192791822558,0
12444,21,5,5005.46,3,3,4,3.3,Loyal,138,Norway,6.551136363636363,36.38456452930298,149
12445,22,1,133.4,3,1,1,1.8000000000000003,Needs Attention,4,Spain,15.5,16.22621335986927,0
12446,58,1,1002.3100000000001,2,1,3,2.0,Needs Attention,57,RSA,6.157894736842105,6.119333243775087,0
12447,243,1,476.49,1,1,2,1.2999999999999998,At Risk,26,Belgium,7.3076923076923075,7.176101973805942,0
12448,44,1,449.45,3,1,2,2.1,Needs Attention,22,Spain,11.045454545454545,19.12305152907218,0
12449,22,4,4067.29,3,3,4,3.3,Loyal,118,Belgium,8.13089005235602,17.994325824835112,164
12450,156,2,197.88,1,2,1,1.3,At Risk,7,Spain,16.0,18.193495698031363,17
12451,11,5,9035.52,4,3,4,3.7,Champions,265,Switzerland,18.573446327683616,21.135579050968854,313
12452,17,2,430.57,4,2,2,2.8000000000000003,Loyal,21,Switzerland,8.409090909090908,16.023037669155816,0
12453,134,1,707.09,2,1,3,2.0,Needs Attention,43,Austria,11.0,5.037722056802528,0
12454,56,1,3528.34,2,1,4,2.3,Needs Attention,15,Spain,67.06666666666666,104.4952025875328,0
12455,73,6,2466.86,2,4,4,3.2,Loyal,85,Spain,23.211111111111112,23.523037711380642,223
12456,44,3,3181.04,3,3,4,3.3,Loyal,105,Switzerland,13.064,34.238720340309676,210
12457,66,7,2363.23,2,4,4,3.2,Loyal,53,Switzerland,13.596774193548388,46.29048069629005,172
12458,71,2,947.4,2,2,3,2.3,Needs Attention,35,Switzerland,13.31578947368421,18.02832329094384,213
12461,94,2,826.88,2,2,3,2.3,Needs Attention,35,Switzerland,8.2,32.83688746905623,60
12462,19,2,1189.59,3,2,3,2.7,Loyal,51,Spain,8.64516129032258,21.327398878292737,284
12463,53,4,1344.78,2,3,3,2.5999999999999996,Loyal,65,Belgium,9.349397590361447,7.328468719731287,188
12464,10,8,1212.05,4,4,3,3.6999999999999997,Champions,6,Belgium,3.8620689655172415,26.566101335118468,299
12465,17,2,742.1899999999999,4,2,3,3.1,Loyal,46,Belgium,10.191489361702128,6.353031668294546,152
12468,188,2,729.5400000000001,1,2,3,1.9,Needs Attention,36,Germany,9.631578947368421,11.894366717135764,128
12471,2,30,19824.05,4,4,4,4.0,Champions,150,Germany,17.85217391304348,76.19169714190105,362
12472,32,7,6572.11,3,4,4,3.6000000000000005,Champions,219,Germany,12.23598820058997,15.530018825041694,336
12473,29,5,3938.5499999999997,3,3,4,3.3,Loyal,140,Germany,14.517857142857142,53.242991326316854,162
12474,17,18,7375.79,4,4,4,4.0,Champions,253,Germany,11.431603773584905,10.212934432582509,312
12475,54,1,723.38,2,1,3,2.0,Needs Attention,36,Germany,14.86111111111111,10.979105942725358,0
12476,16,11,6816.42,4,4,4,4.0,Champions,177,Germany,10.334763948497853,26.005650763997817,345
12477,23,6,13219.74,3,4,4,3.6000000000000005,Champions,191,Germany,12.176666666666666,48.76364839072834,278
12478,4,1,680.99,4,1,3,2.8,Loyal,36,Greece,6.555555555555555,20.812875568850277,0
12479,11,1,527.2,4,1,2,2.5,Needs Attention,31,Germany,12.419354838709678,9.067401152254927,0
12480,28,4,3281.63,3,3,4,3.3,Loyal,129,Germany,11.084415584415584,28.908123428200177,307
12481,23,10,5596.32,3,4,4,3.6000000000000005,Champions,150,Germany,15.225806451612904,20.611551737305664,342
12483,17,8,2484.98,4,4,4,4.0,Champions,46,Sweden,14.8,31.407259488477756,322
12484,33,6,4541.72,3,4,4,3.6000000000000005,Champions,256,Spain,6.332369942196531,17.15008436296153,303
12488,10,3,1298.66,4,3,3,3.4,Loyal,46,France,9.618181818181819,16.826931830099475,65
12489,336,1,334.93,1,1,2,1.2999999999999998,At Risk,15,France,7.0,8.673208227200645,0
12490,5,10,5417.93,4,4,4,4.0,Champions,131,France,12.506122448979593,17.133910877765565,324
12491,39,1,460.40000000000003,3,1,2,2.1,Needs Attention,25,France,10.0,9.367493712916943,0
12492,63,2,263.21000000000004,2,2,1,1.7,Needs Attention,19,Germany,9.6,5.372805280200221,42
12493,166,2,433.74,1,2,2,1.6,Needs Attention,20,France,9.409090909090908,5.7762227955256185,31
12494,16,7,1246.1000000000001,4,4,3,3.6999999999999997,Champions,63,France,9.181818181818182,7.523139437715911,349
12497,82,1,1043.1,2,1,3,2.0,Needs Attention,14,Germany,88.28571428571429,44.84968852109857,0
12498,21,3,403.70000000000005,3,3,2,2.7,Loyal,21,Germany,6.913043478260869,6.960856110175046,36
12500,23,11,4257.82,3,4,4,3.6000000000000005,Champions,34,Germany,43.90163934426229,96.51899053152205,310
12501,337,1,2169.39,1,1,4,1.9,Needs Attention,149,Germany,11.966442953020135,11.642558487285982,0
12502,96,5,3723.87,2,3,4,2.9,Loyal,102,Spain,5.578231292517007,29.728509806771058,214
12504,18,2,482.04999999999995,4,2,2,2.8000000000000003,Loyal,6,Germany,10.0,46.544862617813266,12
12506,233,1,73.5,1,1,1,1.0,At Risk,23,France,1.0,2.086586656124731,0
12507,134,3,1304.81,2,3,3,2.5999999999999996,Loyal,19,Spain,42.57142857142857,54.53008953561239,164
12508,26,2,398.27,3,2,2,2.4000000000000004,Needs Attention,57,France,3.9420289855072466,4.446343368666962,2
12509,284,1,176.5,1,1,1,1.0,At Risk,7,France,7.857142857142857,18.9161684431977,0
12510,143,2,982.5699999999999,1,2,3,1.9,Needs Attention,29,Spain,10.696969696969697,32.12482880510923,182
12512,66,2,138.03,2,2,1,1.7,Needs Attention,31,Israel,2.911764705882353,2.871632927177357,0
12513,113,1,612.29,2,1,2,1.7000000000000002,Needs Attention,35,France,13.2,9.986948600695868,0
12514,267,1,1017.68,1,1,3,1.5999999999999999,Needs Attention,51,Italy,8.627450980392156,10.635650297696987,0
12515,353,1,383.7,1,1,2,1.2999999999999998,At Risk,16,Italy,8.1875,22.111873695671594,0
12516,78,2,1312.06,2,2,3,2.3,Needs Attention,20,Germany,33.65384615384615,32.54597290933833,102
12517,28,5,2502.84,3,3,4,3.3,Loyal,232,Germany,4.827464788732394,8.341167975955502,161
12518,1,5,2056.89,4,3,4,3.7,Champions,84,Germany,10.629032258064516,8.975297314683546,109
12519,64,1,340.84,2,1,2,1.7000000000000002,Needs Attention,17,Germany,10.166666666666666,10.909873683542338,0
12520,79,5,2634.26,2,3,4,2.9,Loyal,121,Germany,9.467105263157896,11.726679982218656,194
12521,143,1,599.68,1,1,2,1.2999999999999998,At Risk,38,Germany,8.131578947368421,8.921051867890215,0
12522,39,2,192.72,3,2,1,2.1,Needs Attention,11,Germany,16.166666666666668,4.292248827829067,12
12523,19,11,1789.77,3,4,4,3.6000000000000005,Champions,84,France,8.160377358490566,5.421290511365845,312
12524,9,8,4485.72,4,4,4,4.0,Champions,113,Germany,25.6875,33.076008851408616,324
12526,1,3,1316.66,4,3,3,3.4,Loyal,64,Germany,8.901408450704226,8.519842518452757,93
12527,82,3,348.71000000000004,2,3,2,2.3,Needs Attention,18,Germany,13.0,13.665484131048844,243
12528,9,6,1933.48,4,4,4,4.0,Champions,50,Germany,8.217391304347826,12.022408286335333,303
12530,60,4,1662.28,2,3,4,2.9,Loyal,51,Germany,13.833333333333334,19.07785642520893,277
12531,15,1,125.22,4,1,1,2.2,Needs Attention,17,Germany,2.6470588235294117,6.801954736345584,0
12532,30,1,349.83000000000004,3,1,2,2.1,Needs Attention,16,France,9.5625,9.539831562978458,0
12534,131,1,1089.18,2,1,3,2.0,Needs Attention,63,Germany,10.333333333333334,13.107948691309758,0
12535,92,2,716.35,2,2,3,2.3,Needs Attention,28,France,6.4411764705882355,8.924090775398799,94
12536,43,3,12601.830000000002,3,3,4,3.3,Loyal,260,France,10.739463601532567,362.18342853366886,15
12538,29,1,363.95,3,1,2,2.1,Needs Attention,21,Spain,9.095238095238095,7.189807997966221,0
12539,22,4,5568.35,3,3,4,3.3,Loyal,157,Spain,7.571428571428571,17.99307702381259,311
12540,20,17,13400.24,3,4,4,3.6000000000000005,Champions,277,Spain,13.985355648535565,29.064644578260108,342
12541,30,3,981.18,3,3,3,3.0,Loyal,46,Spain,13.076923076923077,12.460669363861442,251
12544,36,1,372.7,3,1,2,2.1,Needs Attention,19,Spain,7.157894736842105,10.293882927787461,0
12545,75,2,1000.39,2,2,3,2.3,Needs Attention,42,Spain,10.46,14.496073400780512,184
12546,47,2,1161.5,3,2,3,2.7,Loyal,59,Spain,9.173913043478262,10.423762822155396,31
12547,198,2,207.79999999999998,1,2,1,1.3,At Risk,7,Spain,16.75,4.709185552877332,82
12548,166,1,95.19999999999999,1,1,1,1.0,At Risk,5,Spain,9.8,5.1154667431232514,0
12550,79,1,964.83,2,1,3,2.0,Needs Attention,57,Spain,9.982456140350877,17.690194838414094,0
12551,358,1,168.0,1,1,1,1.0,At Risk,10,Spain,10.0,3.1989581637360205,0
12552,39,2,437.82,3,2,2,2.4000000000000004,Needs Attention,20,Italy,4.4,23.762512249782276,0
12553,8,10,3692.28,4,4,4,4.0,Champions,95,France,10.287958115183246,11.880807825798376,321
12556,50,2,603.71,3,2,2,2.4000000000000004,Needs Attention,100,Spain,2.958677685950413,3.8508279922498896,100
12557,16,5,11990.960000000001,4,3,4,3.7,Champions,15,Spain,132.84848484848484,446.19750586925,355
12558,8,1,269.96,4,1,1,2.2,Needs Attention,11,USA,17.818181818181817,22.01308239124263,0
12559,311,2,561.71,1,2,2,1.6,Needs Attention,21,Germany,13.476190476190476,24.540081014342153,8
12560,5,3,2134.01,4,3,4,3.7,Champions,91,Germany,10.571428571428571,17.180256921113195,137
12561,303,1,238.85,1,1,1,1.0,At Risk,16,Germany,11.0625,4.683017857108812,0
12562,8,7,3781.7400000000002,4,4,4,4.0,Champions,99,France,10.589285714285714,19.084931131101072,190
12564,261,1,456.9,1,1,2,1.2999999999999998,At Risk,21,France,6.333333333333333,8.372563611497464,0
12565,289,1,145.92,1,1,1,1.0,At Risk,9,Saudi Arabia,8.88888888888889,4.985759721446672,0
12566,86,1,351.65,2,1,2,1.7000000000000002,Needs Attention,19,Germany,13.947368421052632,9.859135965605915,0
12567,23,10,9401.28,3,4,4,3.6000000000000005,Champions,323,France,9.652466367713005,17.3024339679799,346
12569,2,32,4124.69,4,4,4,4.0,Champions,92,Germany,9.579787234042554,14.51375716460846,250
12571,40,2,519.61,3,2,2,2.4000000000000004,Needs Attention,31,France,15.382352941176471,6.172507623041566,81
12572,9,2,1020.42,4,2,3,3.1,Loyal,53,Germany,7.533333333333333,11.707049057175709,43
12573,227,1,160.54000000000002,1,1,1,1.0,At Risk,26,France,3.0,7.948758213888326,0
12574,316,1,218.45,1,1,1,1.0,At Risk,11,France,5.545454545454546,6.252552206172219,0
12576,36,5,1315.83,3,3,3,3.0,Loyal,72,Poland,10.988636363636363,4.8565089619276085,268
12577,35,3,657.8,3,3,2,2.7,Loyal,137,France,3.2108843537414966,5.486704022682708,323
12578,21,2,2794.51,3,2,4,3.0,Loyal,111,Italy,10.491228070175438,25.465203831639112,308
12579,78,1,440.42,2,1,2,1.7000000000000002,Needs Attention,29,France,9.827586206896552,8.532003659938384,0
12580,247,1,415.7,1,1,2,1.2999999999999998,At Risk,24,Germany,9.916666666666666,6.165258848310156,0
12581,40,1,197.71,3,1,1,1.8000000000000003,Needs Attention,15,Germany,10.733333333333333,3.7756219292165567,0
12582,239,2,511.36,1,2,2,1.6,Needs Attention,21,Finland,13.636363636363637,22.969411242211955,49
12583,3,15,7281.38,4,4,4,4.0,Champions,115,France,20.48582995951417,22.17591686712561,370
12584,4,9,2338.15,4,4,4,4.0,Champions,44,Italy,4.333333333333333,16.30945833072536,276
12585,234,2,2040.1,1,2,4,2.2,Needs Attention,77,Germany,14.701149425287356,22.168976141315973,117
12586,17,1,196.94000000000003,4,1,1,2.2,Needs Attention,11,Italy,7.181818181818182,8.664634178922125,0
12587,8,1,144.0,4,1,1,2.2,Needs Attention,4,Finland,12.75,10.161364737737411,0
12588,39,1,214.89999999999998,3,1,1,1.8000000000000003,Needs Attention,10,Finland,5.3,9.00508498325005,0
12589,29,2,646.68,3,2,2,2.4000000000000004,Needs Attention,29,France,8.742857142857142,10.452372920244741,115
12590,211,2,9864.26,1,2,4,2.2,Needs Attention,68,Germany,62.98529411764706,92.92868335397539,0
12591,317,1,452.84999999999997,1,1,2,1.2999999999999998,At Risk,26,Italy,8.76923076923077,14.520936211606278,0
12592,92,2,437.6,2,2,2,2.0,Needs Attention,11,Germany,16.11111111111111,7.501755785766493,121
12593,109,3,418.09999999999997,2,3,2,2.3,Needs Attention,14,France,9.80952380952381,7.060304863241017,110
12594,38,10,3338.2200000000003,3,4,4,3.6000000000000005,Champions,50,Italy,15.059322033898304,15.06336201562172,285
12596,51,2,618.27,3,2,2,2.4000000000000004,Needs Attention,25,Spain,17.555555555555557,22.139078629520753,190
12597,19,4,3811.22,3,3,4,3.3,Loyal,184,Spain,10.854368932038835,24.5527987143534,248
12598,10,8,3023.08,4,4,4,4.0,Champions,84,France,14.878787878787879,14.75940533516818,275
12599,29,7,1032.58,3,4,3,3.3000000000000003,Loyal,32,France,15.419354838709678,9.57112266697554,275
12600,29,10,2599.04,3,4,4,3.6000000000000005,Champions,32,Germany,12.09375,40.75933722999641,342
12601,190,5,577.0600000000001,1,3,2,1.9,Needs Attention,21,Germany,8.75,13.235267960620142,142
12602,59,1,153.12,2,1,1,1.4000000000000001,At Risk,12,France,13.5,4.742312439383055,0
12603,22,1,739.1999999999999,3,1,3,2.4000000000000004,Needs Attention,2,Germany,31.5,344.5024237940859,0
12604,79,2,254.18,2,2,1,1.7,Needs Attention,15,France,12.5625,6.328255025413142,182
12607,60,1,1579.51,2,1,3,2.0,Needs Attention,101,USA,12.158415841584159,5.979403091173288,0
12609,78,3,1126.85,2,3,3,2.5999999999999996,Loyal,57,Germany,10.8,11.51706372826442,240
12610,23,5,2099.54,3,3,4,3.3,Loyal,85,Italy,9.89622641509434,18.07965561038475,103
12611,52,1,1193.32,2,1,3,2.0,Needs Attention,65,Italy,13.015384615384615,16.957082637840106,0
12612,74,1,704.0400000000001,2,1,3,2.0,Needs Attention,19,Germany,13.789473684210526,16.82652448712418,0
12613,57,5,3344.38,2,3,4,2.9,Loyal,124,Germany,10.745098039215685,14.444812522366968,204
12614,278,1,315.6,1,1,2,1.2999999999999998,At Risk,20,Germany,3.8,2.840700432528643,0
12615,2,4,2291.19,4,3,4,3.7,Champions,82,France,13.104761904761904,18.75354551679627,166
12616,95,2,713.3,2,2,3,2.3,Needs Attention,25,France,8.875,14.658441570446485,202
12617,29,1,355.53,3,1,2,2.1,Needs Attention,39,France,5.071428571428571,7.629709980742645,0
12618,22,1,177.31,3,1,1,1.8000000000000003,Needs Attention,11,Italy,8.727272727272727,8.46423706490485,0
12619,16,9,3641.24,4,4,4,4.0,Champions,50,Germany,37.53333333333333,52.29322901961951,237
12620,15,3,1339.41,4,3,3,3.4,Loyal,89,France,12.83695652173913,7.175569027080603,189
12621,2,20,13689.67,4,4,4,4.0,Champions,261,Germany,15.931477516059957,38.81796118358395,364
12622,232,1,180.1,1,1,1,1.0,At Risk,11,Germany,6.2727272727272725,4.623276091494193,0
12623,276,1,305.1,1,1,1,1.0,At Risk,18,Germany,10.61111111111111,8.66373442100155,0
12624,106,2,641.13,2,2,2,2.0,Needs Attention,36,France,9.342105263157896,7.714713164962045,71
12625,212,2,2683.82,1,2,4,2.2,Needs Attention,73,Germany,18.74418604651163,33.26730738060531,107
12626,23,9,6620.48,3,4,4,3.6000000000000005,Champions,232,Germany,11.744897959183673,20.06456022399176,303
12627,11,7,4478.53,4,4,4,4.0,Champions,162,Germany,11.965217391304348,11.934482442148543,129
12628,4,3,786.46,4,3,3,3.4,Loyal,34,Germany,10.926829268292684,7.599360900599534,60
12630,10,2,1270.88,4,2,3,3.1,Loyal,60,Finland,8.5625,18.883951614305428,34
12631,57,1,640.5,2,1,2,1.7000000000000002,Needs Attention,31,Finland,7.612903225806452,26.501484202705264,0
12633,59,4,2163.98,2,3,4,2.9,Loyal,73,Germany,11.504950495049505,30.181442757934796,229
12635,90,2,1689.18,2,2,4,2.5999999999999996,Loyal,96,Germany,11.603960396039604,13.112677188488433,65
12637,67,8,6021.9,2,4,4,3.2,Loyal,205,France,7.697435897435898,13.096385023818971,256
12638,33,1,671.69,3,1,2,2.1,Needs Attention,39,Sweden,14.794871794871796,23.999062256758673,0
12639,239,1,486.1,1,1,2,1.2999999999999998,At Risk,22,Sweden,9.136363636363637,22.57095114295885,0
12640,24,3,1174.58,3,3,3,3.0,Loyal,47,France,5.867924528301887,15.644463146454843,57
12641,115,1,185.9,2,1,1,1.4000000000000001,At Risk,10,Sweden,7.2,8.260037664697553,0
12642,25,3,1013.26,3,3,3,3.0,Loyal,39,Germany,11.74468085106383,17.588552924759018,82
12643,128,6,3344.64,2,4,4,3.2,Loyal,11,France,75.33333333333333,178.85244586335503,204
12644,130,1,477.91,2,1,2,1.7000000000000002,Needs Attention,31,Germany,10.483870967741936,5.560847386497311,0
12645,34,4,1775.18,3,3,4,3.3,Loyal,58,Germany,14.849315068493151,14.852057824200466,282
12646,5,2,1346.97,4,2,3,3.1,Loyal,43,USA,19.933333333333334,17.70379111941846,44
12647,22,12,3722.82,3,4,4,3.6000000000000005,Champions,78,Germany,11.826446280991735,29.124684445730235,346
12648,155,1,318.05,1,1,2,1.2999999999999998,At Risk,21,Germany,7.619047619047619,8.957338119691373,0
12649,107,3,623.51,2,3,2,2.3,Needs Attention,28,Germany,18.903225806451612,14.348826522773395,105
12650,3,1,314.44,4,1,2,2.5,Needs Attention,20,France,12.7,23.94229545342191,0
12651,335,1,114.0,1,1,1,1.0,At Risk,9,France,8.666666666666666,3.9044045640788823,0
12652,331,1,919.98,1,1,3,1.5999999999999999,Needs Attention,48,France,10.520833333333334,17.011660034448713,0
12653,149,2,2209.85,1,2,4,2.2,Needs Attention,37,Israel,21.372093023255815,62.69382183641587,147
12654,11,5,601.98,4,3,2,3.1,Loyal,31,Germany,6.947368421052632,4.368287762966784,284
12656,17,5,4051.17,4,3,4,3.7,Champions,89,France,13.674603174603174,32.48421949457042,216
12657,11,4,1643.18,4,3,3,3.4,Loyal,35,France,22.21276595744681,30.52879756792872,67
12658,19,1,686.05,3,1,3,2.4000000000000004,Needs Attention,36,Germany,8.88888888888889,8.707792838091127,0
12659,30,1,91.68,3,1,1,1.8000000000000003,Needs Attention,5,France,21.0,5.585738984234764,0
12660,11,1,245.1,4,1,1,2.2,Needs Attention,13,France,9.76923076923077,2.855510866323627,0
12662,1,11,3849.78,4,4,4,4.0,Champions,129,Germany,8.947826086956521,7.065240961115043,372
12664,8,9,4881.88,4,4,4,4.0,Champions,10,Finland,32.513513513513516,98.81014131062574,314
12665,325,1,63.0,1,1,1,1.0,At Risk,3,Germany,12.333333333333334,7.937253933193772,0
12667,58,1,620.13,2,1,2,1.7000000000000002,Needs Attention,33,Finland,11.969696969696969,26.117632029740165,0
12668,12,4,3807.15,4,3,4,3.7,Champions,115,Germany,10.149068322981366,28.116420496660513,343
12669,151,3,2744.0299999999997,1,3,4,2.5,Needs Attention,98,France,11.03960396039604,112.08461237859281,105
